,1,10,20,30,40,50,60,70,80,90,100,110,120
1,0.5176470875740051,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.8588235378265381,0.8235294222831726,0.9058823585510254
2,0.9176470637321472,1.0,0.9058823585510254,0.8823529481887817,0.8823529481887817,0.8941176533699036,0.8823529481887817,0.8823529481887817,0.7882353067398071,0.8941176533699036,0.8823529481887817,0.8823529481887817,0.9058823585510254
3,0.9411764740943909,1.0,0.9176470637321472,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254,0.9058823585510254
4,0.9176470637321472,0.9647058844566345,1.0,1.0,0.9058823585510254,0.9058823585510254,0.8823529481887817,0.8823529481887817,0.9058823585510254,0.529411792755127,0.9058823585510254,0.8823529481887817,0.9058823585510254
5,0.929411768913269,1.0,1.0,1.0,1.0,0.8941176533699036,0.9058823585510254,0.929411768913269,0.8823529481887817,0.9058823585510254,0.9176470637321472,0.9058823585510254,0.9058823585510254
10,1.0,1.0,1.0,1.0,1.0,0.929411768913269,0.9647058844566345,0.9647058844566345,0.929411768913269,0.9058823585510254,0.9882352948188782,0.7529411911964417,0.9176470637321472
15,1.0,1.0,1.0,1.0,1.0,1.0,0.9764705896377563,1.0,0.9411764740943909,0.9411764740943909,0.8823529481887817,0.9176470637321472,0.929411768913269
20,1.0,1.0,1.0,1.0,1.0,0.9882352948188782,1.0,0.9411764740943909,0.9529411792755127,0.9764705896377563,0.9411764740943909,0.9882352948188782,0.8823529481887817
25,1.0,1.0,1.0,1.0,0.9882352948188782,1.0,1.0,1.0,1.0,0.9411764740943909,0.9411764740943909,0.9411764740943909,0.9176470637321472
